date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:27	21760/21760	---M--	200	added ('OK')	application/font-woff	etag:%225500-589d867a6444e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTPro-BdCn20.woff	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTPro-BdCn20.woff	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:27	15050/15050	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223aca-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.eot	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.eot	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:28	15050/15050	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223aca-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.eot?	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regulard41d.eot	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:28	14048/14048	---M--	200	added ('OK')	text/html	etag:%2236e0-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.woff2	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.html	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:28	17704/17704	---M--	200	added ('OK')	application/font-woff	etag:%224528-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.woff	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.woff	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:28	26488/26488	---M--	200	added ('OK')	application/font-sfnt	etag:%226778-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.ttf	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.ttf	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:29	56266/56266	---M--	200	added ('OK')	image/svg+xml	etag:%22dbca-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.svg	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-regular.svg	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:29	15667/15667	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d33-589d867a63c7e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.eot	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.eot	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:29	15667/15667	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223d33-589d867a63c7e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.eot?	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700d41d.eot	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:29	14720/14720	---M--	200	added ('OK')	text/html	etag:%223980-589d867a64066%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.woff2	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.html	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
